IP              Nombre de Host
90.3.2.7        dsdgvdbfidugestor
90.4.0.111      lbdgmqcobis1
90.4.0.170      lbdgapppfm2
90.4.1.2        oaslab
90.4.1.117      labseti
90.4.2.37       lbdgvcvs
90.4.4.174      dsdgaodi2
90.4.5.64       lbdgdbcluster2
90.4.5.88       daviserviciosdes2
90.4.5.246      lbdgdbwsrr
90.4.6.41       wpslabv9-1
90.4.24.92      lbdgvbdpco1
90.4.24.93      lbdgvbdpco2
90.4.25.14      lbdgbackupvm
90.4.28.1       Stratus Laboratorio - Desarrollo
90.5.0.76       sadgwscobis2
90.5.2.11       oas2
90.5.2.44       smdb21
90.5.2.142      sadgvwebprodu
90.5.2.209      sadgwladminorq
90.5.3.198      monitorr
90.5.4.89       sadgmedia05
90.5.4.104      sadgobi
90.5.5.12       wmb1
90.5.5.123      portal2
90.5.6.120      sadgdbsarlaft
90.5.34.29      sadgorquestaadm
99.5.88.232     sadgwapctg
99.5.88.40      as400lab.davivienda.loc
99.5.88.42      as400des.davivienda.loc
192.168.49.15   sadgvtotemo1
192.168.80.60   sadgvpts01
192.168.83.10   sdgdbportalcorp2
192.168.83.167  ctgvdbdavicom
192.168.103.47  sadgvidmam2
192.168.103.155 lbdgvidp
192.168.130.31  lbdbdgpeopleerp1
192.168.130.46  lbdbdgpeopleerp2
